image_path,mask_path
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/1.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/1.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/10.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/10.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/100.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/100.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/101.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/101.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/102.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/102.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/103.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/103.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/104.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/104.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/105.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/105.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/106.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/106.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/107.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/107.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/108.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/108.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/109.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/109.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/11.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/11.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/110.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/110.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/111.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/111.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/112.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/112.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/113.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/113.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/114.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/114.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/115.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/115.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/116.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/116.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/117.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/117.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/118.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/118.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/119.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/119.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/12.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/12.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/120.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/120.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/121.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/121.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/122.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/122.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/123.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/123.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/124.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/124.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/125.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/125.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/126.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/126.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/127.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/127.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/128.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/128.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/129.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/129.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/13.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/13.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/130.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/130.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/131.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/131.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/132.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/132.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/133.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/133.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/134.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/134.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/135.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/135.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/136.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/136.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/137.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/137.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/138.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/138.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/139.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/139.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/14.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/14.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/140.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/140.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/141.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/141.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/142.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/142.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/143.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/143.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/144.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/144.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/145.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/145.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/146.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/146.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/147.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/147.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/148.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/148.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/149.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/149.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/15.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/15.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/150.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/150.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/151.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/151.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/152.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/152.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/153.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/153.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/154.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/154.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/155.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/155.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/156.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/156.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/157.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/157.png
/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/Original/158.png,/work/vajira/DATA/sinGAN_polyps/cvc_clinic_db/CVC-ClinicDB/ground_truth/158.png
