image_path,mask_path
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/75.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p75.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/51.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p51.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/31.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p31.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/30.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p30.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/195.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p195.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/43.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p43.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/168.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p168.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/196.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p196.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/115.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p115.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/142.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p142.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/64.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p64.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/45.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p45.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/135.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p135.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/70.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p70.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/177.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p177.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/68.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p68.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/69.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p69.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/56.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p56.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/116.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p116.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/194.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p194.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/130.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p130.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/127.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p127.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/137.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p137.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/104.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p104.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/19.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p19.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/76.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p76.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/44.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p44.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/89.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p89.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/134.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p134.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/49.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p49.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/73.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p73.png
/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ETIS-LaribPolypDB/42.png,/work/vajira/DATA/sinGAN_polyps/ETIS-Larib/ETIS-LaribPolypDB/ground_truth/p42.png
