image_path,mask_path
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/668.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/668.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/669.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/669.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/670.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/670.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/671.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/671.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/672.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/672.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/673.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/673.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/674.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/674.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/675.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/675.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/676.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/676.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/677.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/677.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/678.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/678.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/679.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/679.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/680.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/680.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/681.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/681.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/682.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/682.jpg
/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_images/683.jpg,/work/vajira/DATA/sinGAN_polyps/singan_test_2/real_masks/683.jpg
